Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0019221,c1cc(cc2c1CCCN2CCOC)NS(=O)(=O)c3c(c(c(c(c3C)C)C)C)C,0000100000000100000000000000000001000000000000000000000000000000010000000000000010000000000000000001000000000000001000000100000010000000000000000000000000000000000000000000000001000000000000010000000000000000000010000000000000000000000000000100001000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000010001000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000010010001000000000001000000000001000000000000000011000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000101000001001000000000000000000000010000000000000000000000000000000000000000000000000010000000010100000000000000000010000000000000000000000000000000000000000000000001000000000000000100,0,1,38.1580989973,0.0,-1.0
SMSSF-0024589,c1cc(ccc1CC)NC(=O)CSc2ncc(c(=O)[nH]2)S(=O)(=O)c3ccc(cc3C)C,0100000000000000000000000000000001000000010000000000010000000000000000000000000010000000001000000000000000000000000010000000000010000000000000000100000000000000000000000000000000000000000000010000000000001000000000000000000100100000000100000000000000000000000000000010000000000000000000100000001000000000000000100010000000000000000000000000010000000010000010000000000100000000001000000000000010000000100000000000000000000000000010010000000000000000000010000000000100000000000000000010000000000000000000000000000100000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000010000000000000000000000000000000000000000000000010000000000000000000010100001000100000000000000000001000000000000000000000000100000000000000001000000100000001000000000000000000000000000000000001000001000000000000000000000000010000000000000000110000000100000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000010000000000,0,1,68.7676261271,0.0,11.0
SMSSF-0036710,c1ccc2c(c1)c(c[nH]2)CCNC(=O)Cc3csc(n3)Nc4cccc(c4)Cl,0000000000000001000000000000000100000000010000000000000000000000100000000000000010000000001000000000000011000000000001010000000010000000000010000000000000000000000001000000000100000000000000010000010000000000000000001001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100110001000000000000000000000010000000100000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000010000000000000000000000000000000000000000000000000001000001001000000001000000000000000000000100000000100001000000000000000000000000000000000000000000000000000010000000110000000100000001000000000000000000000000000100000000000000000000101000000000000000000000000000000001000000000000001000000000000000000000000000000011000000000000000000001001000000000000000001000001000000000000000000010000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000,0,1,46.400205427799996,0.0,-11.0
SMSSF-0062358,c1cc(ccc1c2nnc3n2CC(=C)S3)Br,0000000000000000000000000000000000010000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000100100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000100000000000100000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000001010000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000001000000000000100010000000010000000000000000000000000000000000100001000000000000000000000000000000000000000000001000,0,1,97.3693906894,0.0,-36.0
SMSSF-0017951,c1cc(cc2c1CCCN2CCOC)N,0000100000000100000000000000000001000000000000000000000000000000010000000000000010000000000000000001000000000000001000000100000000000000000000001001000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000010000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000010000000000001000000000000000000000000000000000000010000000010100000000000000000010000000000000000000000000000000000000000000000001000000000000000000,0,1,78.9622727688,1.0,149.0
SMSSF-0002932,c1ccc(cc1)C(=O)c2cc(ccc2NC(=O)CN3CCOCC3)Cl,0000000001000000000000000000000000000000010000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000100000000000000000000000010000000000000001000000000000000000000000000000000000000000010000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000100010000100000000000000000001000000010000000000000000100000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000010010000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000100000000000000010000000000000000000000001000000000000001000000001000000001000000100000000000000001000000000000000000000000010000000000000000010010000000000000000000000000001010000000010000000000000010000000000100000100000000000000000000000000000000000000000000000000000000,0,0,-3.3209140724400004,0.0,-24.0
SMSSF-0003173,C1(=S)NCN(CN1)CCO,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000100000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000100000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-13.1950716923,0.0,-22.0
SMSSF-0004195,c1ccc2c(c1)CC(NC2)C(=O)O,0000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000100000000000010000000000000000001000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,0,0,-8.802080839550001,0.0,-30.0
SMSSF-0005770,c1ccc(cc1)CCNC(=S)NN=Cc2ccccc2Cl,0001000000000000000001000000000000000000001000000000000000000000100000000000000010000000000000000100000000000010000000000000000010000000000000000000000000000000000000100001000100000000000000000000010001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000001000000000000000000000010000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000100010000000000000000000000000011000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000001000001000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100001000000010000000000000000000000000000000000000000000000000,0,0,-18.340601214,0.0,-28.0
SMSSF-0008841,C(#N)C[S-](=O)(c1ccc(cc1)C)[O-],0000000000000000000000000000000001000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000100001000000000000000000001000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000010000000000000000100000000001000001010000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000,0,0,1.8254137307900002,0.0,-23.0
