Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0035668,c1ccc(cc1)C(C(=O)Nc2cc(nn2c3nc(c(c(=O)[nH]3)C)C)c4ccco4)CC,0100000000001000000000000000000001000000000000000000000001000000100000000000000010000000001010000000000000000000000000000100000010000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000001000010000000000000000000000000010000000000000010000000000000000000001000000000010010000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000001000000000000000000000100000100000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000010000000000100000000000100001000000000000000000000001001010000000010000000000000000100000110001000000000010001000000000000000000001001000000000010000001000000000000000000000000010000000000000000010000000010000000001000000100000000000110010000000000000000100000000000000000010000000010000000000000000000000000000001000000000000,0,0,8.99870450255,1.0,35.0
SMSSF-0036249,c1ccnc(c1)CNC(=O)Cc2csc(n2)Nc3ccc(cc3)F,0000000000000000000000000000000100000000010000000000000000000000100000000000000010000000001000000000000001000000000001000000000011010000000010000000000000000000000000000000100100000000000000010000010000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000010000000000000000000001000000110000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000001000010000000010000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000100000000000000001000000000000000000000001000000000000000000000000101000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000000101000000000011000001000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-3.56049153558,1.0,60.0
SMSSF-0036260,c1cc(cc(c1)Nc2nc(cs2)CC(=O)N)C(F)(F)F,0000000000000001000000000000000100000000000000000000000000000000100000000000000010000000000000000000000001000000001001000000000010000000000010000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000010000000000000000000001000000100000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000001000000000000000000000000000100000000000000000000101000000000000000000000000000000000000000000000000000000000000000010000000000000001010000000000000000000001000000010000000001000000000000000000000000110000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000,0,0,2.68754284491,1.0,39.0
SMSSF-0036331,c1ccnc(c1)CNC(=O)Cc2csc(n2)Nc3ccc(cc3)OC(F)(F)F,0000000000000000000000000000000100000000010000000000000000000000100000000000000010000000000000000000000001000000001001000000010011010000000010000100000000000000000000000000100100000000000000010000010000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000010000100100000001000000000000000000000010000000000000000000001000000100000000000000000000000000000000000000000011000000000000000000100000000000000000000000000000000000001000010000000010000000000000000000000000000000000000000001000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000001000000000000000000010000000000000000000000100000101000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000000101000000000011000001000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-1.13223083112,1.0,73.0
SMSSF-0036488,c1cc(cc(c1)Cl)Nc2nc(cs2)CC(=O)Nc3ccc4c(c3)OCCO4,0000000000010001000000000000000100000000010000000000000000000000100000000000000010000000000000000000000011000000000001000000000110000000000010000000000000000000000001000000000000000000100000010000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000010000000000000000000001000000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000001000000001000000001000000000000000000000000000000100000000000000000000000000000010000000000000000000000000010000010110000000000000001000000000000000000000000000100000000000000000000101000001000001000000000000000000000000000000000001000000000000000001000000000000001000000000000000000000001000010000001000001000000000000000000000000010000010000000000010000000100000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000,0,1,47.782376517399996,0.0,-23.0
SMSSF-0036710,c1ccc2c(c1)c(c[nH]2)CCNC(=O)Cc3csc(n3)Nc4cccc(c4)Cl,0000000000000001000000000000000100000000010000000000000000000000100000000000000010000000001000000000000011000000000001010000000010000000000010000000000000000000000001000000000100000000000000010000010000000000000000001001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100110001000000000000000000000010000000100000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000010000000000000000000000000000000000000000000000000001000001001000000001000000000000000000000100000000100001000000000000000000000000000000000000000000000000000010000000110000000100000001000000000000000000000000000100000000000000000000101000000000000000000000000000000001000000000000001000000000000000000000000000000011000000000000000000001001000000000000000001000001000000000000000000010000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000,0,1,46.400205427799996,0.0,-11.0
SMSSF-0038565,c1ccc2c(c1)cc(cn2)NC(=O)C3CCN(CC3)c4ccc(nn4)c5ccco5,0100000000000000000000000000000000000000000000000000000000000001100000001100000000000000000000000000000000000000000100000100000010000000000010000000000100000000000000001000000100000000000000011000000000000000010000000000000000000000000000000000000000010000000010010000000000000000000000000100000000000100000001000000000000000000000000010000000000000000000010000000000000000000001000000010000000000000000000010000000000000000000010000000000000000000000000001000000000000000001000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000010000010000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000100010100001000000000000001000001000000000000000001000000000000000001000000000000000000000000010000000000000000010000000010000000000000000000000010000000010000000000000000000000000010000000000010000010000000000000000000000000001000000000110000,0,0,-1.9856411141499999,1.0,40.0
SMSSF-0038905,c1ccc2c(c1)cc(n2C)c3nc(cs3)C(=O)NN4CCOCC4,0000000000000000000000000000000001000000000001000000000000000001100000000000000000000000000000000000100000000001000000000100000010000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000010000000000000000000001001000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000001010000100000000000000000001000000001000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000011000000010010000001000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000100000000010000000000000000000000001000000000000000000000001000000000000000001000001000000000000000000010000000000000000110000000000000000100000000000000010000000010000000000000010000000000000000000000000000000000000000000000100000000000000000000000000,0,0,7.896948297110001,1.0,65.0
SMSSF-0038910,c1cc(cc2c1nc(n(c2=O)c3ccc(cc3)Cl)C)NC(=O)Nc4ccc5c(c4)OCO5,0000000000010000000000000000000001000000000000100000000010100000010000000100000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000100000010000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000001000000000000000000000010000000000000000000001000000000010000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000010000000000000000000000000010000010010000000000000000000000000000000000000010000000000000000000000000001000000000001000000000000000000000000000000000000010000000000000001000000001000001000000001000000000000001000000010001000001000000000000000000000000010000010000000000010000000000000000000000010000100010000000010000000000000000000000000100011001000000000000000000000000000000000000000000000100000000,0,0,-7.84959318615,1.0,38.0
SMSSF-0039184,c1cc2c(cc1C(CNC(=O)Nc3cc(cc(c3)OC)OC)N4CCCC4)CCCN2C,0100100100000000000000000000000001000000000000000000000000000000000000000000000010001000000000000000000000000000001000000100000010001000000000000000000000000000000000000000000000000000000000010010010000000000000010000000000000000000000000000100000000000000001000000000000100000000000000000000000000000000000000001000000000100000000000000000010000000000000010001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000010000000000001000000000000000000000000000000110000000000001000000000000000000000000000000000001000000000000000000000000000000100000000000010000000000000000001000000000000000000000000010000000000000000001000000000001000000000000000000000000000000000000000000000000000000100000000001000000000000001000000000000000000001100000000000100000001000000000000000000000000010000000000000001010000000001000000000000000000000010000000010000000000000000000000000000011000000010000000000000000000000001000000000000000000000000,1,0,40.2509650189,0.0,-17.0
SMSSF-0039974,c1ccc2c(c1)-c3c(sc(n3)N)CC2,0000000000000010000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000010000000100000000000000000000000000000000000010000000000000000000000000001010000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000100010000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000001000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000,1,0,55.886157868599994,0.0,-18.0
SMSSF-0039995,c1ccc2c(c1)c(=O)cc(o2)C(=O)Nc3c(c4c(s3)CN(CC4)C(=O)C)c5nc6ccccc6s5,0100000000000000010000000000000001000000001000000010000000000000100000000100000000010000000000010000000010000000001000000000000010000000000000000001000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000101000000000000000000000010000000000000000001000010000000000000000010000100010010000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000100000000000001000000000000000000000000000001000000000000000000000000000000001001000010000000000000001000000100000000000000000100000000000000000000000000000000000000000000000000010000010000000000000000001000000000000100000000000000000000000001000000001001000100000000000000000000000000000000000000000000000000000100000001000000000000001000100010000000000000001001000000000000011000000000000000000000000010000000001000000010000000000000000100000000010100010000000010000000000000000000000000000000000000000000010000100000000000000000000000000000001000000,0,0,-5.16419832819,1.0,104.0
SMSSF-0040003,c1cc2c(cc1c3csc(n3)NC(=O)COc4ccc(cc4Cl)Cl)OCCO2,0000000000010000000000000000000000000000010000000000000000000000000000000000000010000010000000100000000000000000000001000000000010000000100000000000000000000000100101010000000000000000010000101000000000000000000000001000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000001000000100000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000001000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000010010000000000000001000000000000000000010000001000000000000000000000001000000001001000000000000000000000000000000000000000000000000000001000000000000011000000001000000000000001000010000000000001000000000000000000000000010000010000000000010010000000000000000000000000000010000000000000000000100010000000000000000000000000000010000000000100000000000000000000000000000000,0,0,-4.583267391230001,1.0,30.0
SMSSF-0040009,c1ccc(cc1)CN2Cc3c(c(c(s3)NC(=O)c4ccc(s4)c5nc6ccccc6s5)C(=O)OC)CC2,0100000000011000000000000000000001000000001000000010000000000010100000000100000010010000000000000000000000000000001000000000000010000000000000000100000000000000101000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000101000000000000000000000000000000000000000000000000000000000000000010000100000000000000001000000001010000000000000000000000000000010000000000000000000000000000000000001000010000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000100000000000000000000000010000000000000000000000000010000000010000000000000001000000000000000000010000000000000000001000000010001000100000000001000001000000000000000000010000010000000000000000001010000000000001110100000000000000000001000000000100000001000000000000000000000000000000000001000000010000000000001000100000000000100010000000010000000000000000000000000000000000100000000010000000000000000000000000000000000000000000,0,0,-18.386733168800003,1.0,99.0
